cve_ent,entidad,cve_plantel,plantel,periodo_anual,porcentaje_abandono_escolar
1,Aguascalientes,63,Aguascalientes II,2024-2025,6.1
1,Aguascalientes,284,Aguascalientes III,2024-2025,5.8
1,Aguascalientes,318,Aguascalientes IV,2024-2025,5.2
1,Aguascalientes,247,Ing. Miguel Ángel Barberena Vega,2024-2025,7.8
1,Aguascalientes,319,Pabellon de Arteaga,2024-2025,11
1,Aguascalientes,16,Prof. J. Refugio Esparza Reyes,2024-2025,14
2,Aguascalientes,285,Tepezalá,2024-2025,7.2
2,Baja California,64,Ensenada,2024-2025,18.3
2,Baja California,215,Ing. César Moreno Martínez de Escobar,2024-2025,13.4
2,Baja California,17,Mexicali I,2024-2025,13.3
2,Baja California,154,Mexicali II,2024-2025,17.5
2,Baja California,18,Tijuana I,2024-2025,13.8
2,Baja California,143,Tijuana II,2024-2025,18.4
3,Baja California Sur,19,La Paz,2024-2025,14.1
3,Baja California Sur,282,San José del Cabo,2024-2025,10.6
4,Campeche,21,Ciudad del Carmen,2024-2025,19
4,Campeche,272,Dzitbalché Calkiní,2024-2025,8.3
4,Campeche,20,Lic. Guillermo González Galera,2024-2025,11.4
7,Chiapas,331,Altamirano,2024-2025,6.1
7,Chiapas,22,Chiapa de Corzo,2024-2025,11.3
7,Chiapas,70,Comitán,2024-2025,9.4
7,Chiapas,67,Huixtla,2024-2025,9.8
7,Chiapas,262,Ocosingo,2024-2025,7.8
7,Chiapas,69,Palenque,2024-2025,7.5
7,Chiapas,340,Pichucalco,2024-2025,10.3
7,Chiapas,171,San Cristóbal de las Casas,2024-2025,11.3
7,Chiapas,325,Tapachula,2024-2025,4.9
7,Chiapas,170,Tonalá-Chiapas,2024-2025,11.5
7,Chiapas,68,Tuxtla Chico,2024-2025,6.9
7,Chiapas,312,Tuxtla Gutiérrez,2024-2025,11.1
8,Chihuahua,25,Chihuahua I,2024-2025,16.8
8,Chihuahua,219,Chihuahua II,2024-2025,27.9
8,Chihuahua,218,Ciudad Cuauhtémoc,2024-2025,17
8,Chihuahua,208,Ciudad Delicias,2024-2025,32.8
8,Chihuahua,26,Ciudad Juárez I,2024-2025,14.3
8,Chihuahua,207,Ciudad Juárez II,2024-2025,14.1
8,Chihuahua,323,Juárez III,2024-2025,11.7
8,Chihuahua,156,Parral,2024-2025,16.9
9,Ciudad de México,132,Aeropuerto,2024-2025,19.5
9,Ciudad de México,220,Alvaro Obregón I,2024-2025,13.5
9,Ciudad de México,221,Alvaro Obregón II,2024-2025,19.1
9,Ciudad de México,4,Aragón,2024-2025,23.9
9,Ciudad de México,106,Azcapotzalco,2024-2025,17
9,Ciudad de México,11,Aztahuacán,2024-2025,25.3
9,Ciudad de México,161,Centro México Canadá del CONALEP,2024-2025,17.7
9,Ciudad de México,166,Comercio y Fomento Industrial,2024-2025,21.1
